t_delta,datetime,visibility
0,2024-05-29 10:49:11.420 MESZ(+0200),8.1172943115234375
1000,2024-05-29 10:49:12.420 MESZ(+0200),8.1240434646606445
2001,2024-05-29 10:49:13.421 MESZ(+0200),8.0189399719238281
3002,2024-05-29 10:49:14.422 MESZ(+0200),8.0189399719238281
4003,2024-05-29 10:49:15.423 MESZ(+0200),7.6357650756835938
5003,2024-05-29 10:49:16.423 MESZ(+0200),7.5276570320129395
6003,2024-05-29 10:49:17.423 MESZ(+0200),7.4173812866210938
7004,2024-05-29 10:49:18.424 MESZ(+0200),7.3283753395080566
8004,2024-05-29 10:49:19.424 MESZ(+0200),7.3135538101196289
9005,2024-05-29 10:49:20.425 MESZ(+0200),7.3010916709899902
10005,2024-05-29 10:49:21.425 MESZ(+0200),7.2998480796813965
11005,2024-05-29 10:49:22.425 MESZ(+0200),7.2997250556945801
12006,2024-05-29 10:49:23.426 MESZ(+0200),7.1899232864379883
13006,2024-05-29 10:49:24.426 MESZ(+0200),7.0790309906005859
14006,2024-05-29 10:49:25.426 MESZ(+0200),6.9627137184143066
15006,2024-05-29 10:49:26.426 MESZ(+0200),6.8909845352172852
16007,2024-05-29 10:49:27.427 MESZ(+0200),6.8818349838256836
17007,2024-05-29 10:49:28.427 MESZ(+0200),6.8809218406677246
18007,2024-05-29 10:49:29.427 MESZ(+0200),6.9577412605285645
19007,2024-05-29 10:49:30.427 MESZ(+0200),7.1055350303649902
20007,2024-05-29 10:49:31.427 MESZ(+0200),7.12066650390625
21008,2024-05-29 10:49:32.428 MESZ(+0200),7.1221795082092285
22008,2024-05-29 10:49:33.428 MESZ(+0200),7.1931133270263672
23009,2024-05-29 10:49:34.429 MESZ(+0200),7.3275456428527832
24009,2024-05-29 10:49:35.429 MESZ(+0200),7.7858734130859375
25010,2024-05-29 10:49:36.430 MESZ(+0200),8.005040168762207
26010,2024-05-29 10:49:37.430 MESZ(+0200),8.0546226501464844
27011,2024-05-29 10:49:38.431 MESZ(+0200),8.0596084594726562
28011,2024-05-29 10:49:39.431 MESZ(+0200),8.0601129531860352
29011,2024-05-29 10:49:40.431 MESZ(+0200),7.9786438941955566
30011,2024-05-29 10:49:41.431 MESZ(+0200),7.886566162109375
31013,2024-05-29 10:49:42.433 MESZ(+0200),7.8339481353759766
